film,budget,genre,box_office,rt,rt_user,mc,mc_user,imdb,fandango_rating,mc_votes,imdb_votes,fandango_votes
Avengers: Age of Ultron (2015),469.6,action,1403.000,74,86,66,7.1,7.8,4.5,1330,271107,14846
Cinderella (2015),149.65,fantasy,543.500,85,80,67,7.5,7.1,4.5,249,65709,12640
Ant-Man (2015),130,fantasy,519.300,80,90,64,8.1,7.8,4.5,627,103660,12055
Do You Believe? (2015),2.3,drama,14.400,18,84,22,4.7,5.4,4.5,31,3136,1793
Hot Tub Time Machine 2 (2015),18,fantasy,13.100,14,28,29,3.4,5.1,3,88,19560,1021
The Water Diviner (2015),22.5,other,38.200,63,62,50,6.8,7.2,4,34,39373,397
Irrational Man (2015),11,drama,27.400,42,53,53,7.6,6.9,3.5,17,2680,252
Top Five (2014),12,drama,26.100,86,64,81,6.8,6.5,3.5,124,16876,3223
Shaun the Sheep Movie (2015),25,fantasy,106.200,99,82,81,8.8,7.4,4,62,12227,896
Love & Mercy (2015),10,other,28.600,89,87,80,8.5,7.8,4,54,5367,864
Far From The Madding Crowd (2015),15.48,drama,30.200,84,77,71,7.5,7.2,4,35,12129,804
Black Sea (2015),10.3192,action,1.600,82,60,62,6.6,6.4,3.5,37,16547,218
Leviathan (2014),3.45,drama,3.400,99,79,92,7.2,7.7,3.5,145,22521,64
Unbroken (2014),65,other,163.400,51,70,59,6.5,7.2,4.1,218,77518,9443
The Imitation Game (2014),14,other,233.600,90,92,73,8.2,8.1,4.6,566,334164,8055
Taken 3 (2015),48,action,326.400,9,46,26,4.6,6.1,4.1,240,104235,6757
Ted 2 (2015),68,fantasy,216.700,46,58,48,6.5,6.6,4.1,197,49102,6437
Southpaw (2015),30,other,94.000,59,80,57,8.2,7.8,4.6,128,23561,5597
Night at the Museum: Secret of the Tomb (2014),127,fantasy,363.200,50,58,47,5.8,6.3,4.1,103,50291,5445
Pixels (2015),108.5,fantasy,244.900,17,54,27,5.3,5.6,4.1,246,19521,3886
"McFarland, USA (2015)",25,other,45.700,79,89,60,7.2,7.5,4.6,59,13769,3364
Insidious: Chapter 3 (2015),11,other,113.000,59,56,52,6.9,6.3,4.1,115,25134,3276
The Man From U.N.C.L.E. (2015),79.5,action,109.800,68,80,55,7.9,7.6,4.1,144,22104,2686
Run All Night (2015),55.8,action,71.700,60,59,59,7.3,6.6,4.1,141,50438,2066
Trainwreck (2015),35,drama,140.800,85,74,75,6,6.7,4.1,169,27380,8381
Selma (2014),20,drama,66.800,99,86,89,7.1,7.5,4.6,316,45344,7025
Ex Machina (2015),15,fantasy,36.900,92,86,78,7.9,7.7,4.1,672,154499,3458
